booking_id,customer_id,customer_name,customer_segment,customer_signup_date,customer_home_city,customer_loyalty_tier,property_id,property_name,property_city,property_star_rating,property_type,property_total_rooms,booking_date,checkin_date,checkout_date,room_type,num_rooms,nights,booking_channel,adr,discount_amount,coupon_code,total_amount,payment_method,booking_status,review_rating,review_date
101810,67,Customer_67,Individual,2023-12-17,Chennai,Gold,26,Mango Courtyard,Mumbai,2,Budget,60,2024-07-02,2024-08-11,2024-08-13,Deluxe,0,2,OTA,4569.6,1153.14,WELCOME,0.0,Credit Card,Completed,3.0,2024-08-29
101861,629,Customer_629,Individual,2022-01-29,Pune,None,25,Tusker Stay,Pune,2,Mid-Range,60,2024-11-30,2024-12-15,2024-12-16,Standard,0,1,Corporate Portal,4595.42,686.94,SAVE10,0.0,Net Banking,Completed,4.0,2024-12-22
101961,281,Customer_281,Individual,2022-10-19,Pune,None,2,The Grand Plaza,Bangalore,5,Luxury,80,2024-09-18,2024-10-13,2024-10-18,Standard,0,5,OTA,14837.39,0.0,,0.0,Net Banking,Cancelled,,
102056,81,Customer_81,Individual,2022-04-21,Goa,Platinum,45,Cedar Heights,Udaipur,3,Budget,120,2024-07-09,2024-07-16,2024-07-18,Standard,0,2,OTA,3094.4,951.02,SAVE10,0.0,Debit Card,Completed,,
102094,639,Customer_639,Corporate,2022-11-26,Chennai,None,51,Olive Courtyard,Mumbai,5,Premium,60,2024-11-28,2024-12-23,2024-12-25,Deluxe,0,2,Corporate Portal,16204.15,0.0,NONE,0.0,UPI,Completed,8.0,2025-01-13
102147,798,Customer_798,Individual,2022-04-17,Manali,Silver,8,Royal Orchid,Goa,5,Luxury,120,2024-07-30,2024-08-06,2024-08-08,Standard,0,2,Direct Website,11801.38,4287.88,APPDEAL,0.0,Credit Card,Completed,4.0,2024-08-24
102250,667,Customer_667,Corporate,2023-12-16,Bangalore,None,11,Coral Palace,Mumbai,3,Premium,100,2024-11-09,2024-12-19,2024-12-23,Deluxe,0,4,OTA,13621.18,0.0,NONE,0.0,UPI,Cancelled,,
102308,428,Customer_428,Group,2023-05-08,Chennai,Gold,43,Indigo Lodge,Bangalore,3,Mid-Range,100,2024-09-05,2024-09-12,2024-09-14,Standard,0,2,Travel Agent,5049.41,0.0,NONE,0.0,UPI,Completed,5.0,2024-09-28
102351,53,Customer_53,Corporate,2023-02-13,Bangalore,None,27,Saffron Residency,Pune,3,Mid-Range,80,2024-04-25,2024-05-20,2024-05-19,Standard,0,2,Corporate Portal,4637.8,0.0,,0.0,Net Banking,No-Show,,
102372,379,Customer_379,Individual,2023-07-10,Bangalore,Silver,1,The Grand Plaza,Kochi,5,Premium,60,2024-04-07,2024-04-09,2024-04-12,Standard,0,3,OTA,6805.17,0.0,NONE,0.0,Debit Card,Completed,1.0,2024-04-20
102382,755,Customer_755,Individual,2023-05-18,Delhi,Silver,13,Tusker Palace,Goa,5,Mid-Range,80,2023-11-08,2024-02-06,2024-02-07,Suite,0,1,OTA,14226.86,0.0,NONE,0.0,Debit Card,Cancelled,,
102421,99,Customer_99,Individual,2023-05-20,Kochi,Silver,21,Cedar Retreat,Chennai,3,Mid-Range,30,2024-08-27,2024-10-06,2024-10-09,Deluxe,0,3,Direct Website,7930.91,3920.7,SAVE10,0.0,Credit Card,Completed,2.0,2024-10-23
102485,420,Customer_420,Individual,2023-09-03,Mumbai,None,30,Ivory Retreat,Jaipur,5,Budget,60,2024-03-14,2024-03-29,2024-03-30,Deluxe,0,1,Travel Agent,2448.89,0.0,NONE,0.0,Net Banking,Completed,,
102578,571,Customer_571,Group,2022-10-04,Kochi,None,10,Lotus Manor,Manali,4,Mid-Range,150,2024-03-28,2024-05-07,2024-05-09,Standard,0,2,Direct Website,4155.43,0.0,,0.0,Debit Card,Completed,4.0,2024-05-13
102824,95,Customer_95,Individual,2023-11-20,Goa,None,14,Pearl Haven,Pune,3,Budget,120,2024-12-22,2024-12-24,2024-12-25,Standard,0,1,Corporate Portal,2339.88,358.53,SAVE10,0.0,Debit Card,Cancelled,,
102880,9,Customer_9,Corporate,2023-11-05,Delhi,Silver,7,Royal Orchid,Chennai,4,Budget,80,2023-12-23,2024-03-22,2024-03-24,Standard,0,2,Travel Agent,2066.33,247.53,WELCOME,0.0,Debit Card,Completed,6.0,2024-04-13
102951,139,Customer_139,Individual,2023-12-09,Bangalore,Silver,30,Ivory Retreat,Jaipur,5,Budget,60,2024-04-08,2024-05-18,2024-05-21,Standard,0,3,OTA,2064.94,1275.68,WELCOME,0.0,Debit Card,Completed,5.0,2024-06-10
102980,311,Customer_311,Individual,2022-11-11,Udaipur,None,48,Amber Manor,Chennai,3,Premium,100,2024-09-02,2024-09-27,2024-09-29,Deluxe,0,2,Corporate Portal,12307.09,4914.66,WELCOME,0.0,UPI,Completed,,
103005,35,Customer_35,Individual,2022-06-05,Mumbai,None,40,Mango Lodge,Bangalore,3,Mid-Range,40,2024-11-04,2024-11-11,2024-11-14,Standard,0,3,Corporate Portal,4645.91,0.0,NONE,0.0,Net Banking,Completed,,
103073,318,Customer_318,Individual,2023-06-10,Manali,Platinum,29,Cedar Lodge,Kochi,5,Mid-Range,60,2024-07-29,2024-07-31,2024-08-04,Deluxe,0,4,OTA,5671.52,0.0,NONE,0.0,Debit Card,Completed,,
103138,626,Customer_626,Individual,2022-02-12,Udaipur,Gold,28,Indigo Retreat,Kochi,4,Budget,200,2024-10-04,2024-11-13,2024-11-18,Standard,0,5,Direct Website,2520.81,0.0,,0.0,Debit Card,Completed,4.0,2024-11-26
103151,170,Customer_170,Individual,2022-06-11,Manali,None,35,Maple Retreat,Bangalore,2,Premium,100,2024-07-13,2024-07-28,2024-08-01,Standard,0,4,Travel Agent,7118.77,0.0,,0.0,Debit Card,Completed,1.0,2024-08-18
103227,270,Customer_270,Individual,2022-01-27,Bangalore,Gold,2,The Grand Plaza,Bangalore,5,Luxury,80,2024-09-26,2024-10-03,2024-10-08,Suite,0,5,OTA,32713.36,0.0,,0.0,UPI,Completed,,
103228,764,Customer_764,Individual,2022-01-15,Jaipur,Gold,8,Royal Orchid,Goa,5,Luxury,120,2024-11-18,2024-12-28,2024-12-31,Suite,0,3,OTA,63153.93,46528.01,SAVE10,0.0,UPI,Cancelled,,
103355,668,Customer_668,Individual,2023-06-15,Kochi,None,29,Cedar Lodge,Kochi,5,Mid-Range,60,2024-01-22,2024-02-16,2024-02-23,Standard,0,7,Travel Agent,4003.47,2183.58,APPDEAL,0.0,Credit Card,Completed,4.0,2024-03-06
103366,597,Customer_597,Corporate,2022-08-14,Kochi,None,21,Cedar Retreat,Chennai,3,Mid-Range,30,2023-10-20,2024-01-18,2024-01-21,Deluxe,0,3,Corporate Portal,6077.09,0.0,,0.0,Credit Card,Cancelled,,
103459,196,Customer_196,Group,2023-09-04,Bangalore,Silver,54,Olive Heights,Delhi,5,Budget,100,2023-11-26,2024-02-24,2024-02-26,Standard,0,2,Corporate Portal,2618.18,0.0,NONE,0.0,Net Banking,Completed,5.0,2024-03-05
103485,23,Customer_23,Individual,2023-09-18,Mumbai,Gold,27,Saffron Residency,Pune,3,Mid-Range,80,2024-06-16,2024-07-26,2024-07-28,Deluxe,0,2,OTA,5711.59,0.0,,0.0,Credit Card,Completed,5.0,2024-08-03
103493,681,Customer_681,Group,2022-01-12,Jaipur,None,41,Marigold Residency,Pune,4,Mid-Range,60,2024-09-08,2024-09-15,2024-09-20,Deluxe,0,5,Direct Website,5620.95,6020.52,APPDEAL,0.0,UPI,Completed,5.0,2024-10-07
103570,684,Customer_684,Corporate,2023-06-10,Udaipur,None,11,Coral Palace,Mumbai,3,Premium,100,2023-12-28,2024-02-26,2024-03-01,Standard,0,4,Corporate Portal,10891.24,0.0,,0.0,Debit Card,Cancelled,,
103680,569,Customer_569,Corporate,2023-11-28,Udaipur,None,45,Cedar Heights,Udaipur,3,Budget,120,2024-08-13,2024-09-07,2024-09-10,Suite,0,3,OTA,6142.96,0.0,,0.0,UPI,Completed,9.0,2024-09-18
103705,309,Customer_309,Individual,2023-08-07,Kochi,None,7,Royal Orchid,Chennai,4,Budget,80,2024-09-28,2024-11-07,2024-11-10,Suite,0,3,OTA,4761.27,0.0,NONE,0.0,Debit Card,Completed,,
103736,13,Customer_13,Individual,2023-11-25,Chennai,Silver,16,Banyan Residency,Delhi,3,Budget,60,2024-01-04,2024-01-19,2024-01-24,Standard,0,5,Direct Website,2239.85,1545.19,FEST15,0.0,UPI,Cancelled,,
103752,154,Customer_154,Individual,2023-01-18,Mumbai,None,44,Amber Lodge,Udaipur,5,Mid-Range,150,2024-04-01,2024-04-03,2024-04-05,Suite,0,2,Corporate Portal,9614.53,2515.92,WELCOME,0.0,UPI,Completed,4.0,2024-04-08
104021,413,Customer_413,Corporate,2022-08-20,Manali,None,17,Indigo Palace,Udaipur,3,Budget,100,2024-09-16,2024-10-26,2024-10-30,Standard,0,4,Corporate Portal,2901.68,0.0,NONE,0.0,UPI,Completed,,
104244,317,Customer_317,Individual,2023-11-10,Udaipur,Platinum,28,Indigo Retreat,Kochi,4,Budget,200,2024-06-08,2024-09-06,2024-09-09,Standard,0,3,Travel Agent,1959.88,408.41,APPDEAL,0.0,Net Banking,Completed,,
104275,61,Customer_61,Individual,2023-09-23,Bangalore,Platinum,22,Banyan Stay,Manali,2,Budget,30,2024-05-07,2024-05-09,2024-05-14,Deluxe,0,5,Travel Agent,2699.53,1180.55,SAVE10,0.0,Net Banking,Completed,,
104287,619,Customer_619,Individual,2023-01-09,Kochi,Silver,40,Mango Lodge,Bangalore,3,Mid-Range,40,2024-04-21,2024-06-20,2024-06-24,Standard,0,4,OTA,3909.66,0.0,,0.0,UPI,Cancelled,,
104334,694,Customer_694,Individual,2023-12-12,Mumbai,Gold,52,Crimson Manor,Pune,4,Budget,40,2024-02-20,2024-02-27,2024-02-28,Deluxe,0,1,Corporate Portal,2826.66,0.0,NONE,0.0,Credit Card,Completed,,
104403,728,Customer_728,Individual,2022-05-09,Delhi,None,46,Coral Manor,Kochi,4,Budget,80,2024-09-23,2024-10-08,2024-10-10,Standard,0,2,OTA,2012.52,0.0,,0.0,Debit Card,No-Show,,
104485,494,Customer_494,Corporate,2023-12-29,Pune,Platinum,7,Royal Orchid,Chennai,4,Budget,80,2024-11-24,2024-12-19,2024-12-20,Standard,0,1,Corporate Portal,1855.43,257.5,APPDEAL,0.0,Net Banking,Completed,,
104539,37,Customer_37,Individual,2023-06-13,Delhi,None,11,Coral Palace,Mumbai,3,Premium,100,2024-03-15,2024-03-17,2024-03-21,Deluxe,0,4,OTA,16852.09,0.0,,0.0,Net Banking,Completed,5.0,2024-04-04
104587,243,Customer_243,Individual,2022-08-27,Mumbai,Silver,2,The Grand Plaza,Bangalore,5,Luxury,80,2024-01-01,2024-01-26,2024-01-29,Standard,0,3,Direct Website,16502.76,0.0,NONE,0.0,UPI,Completed,4.0,2024-02-17
104723,109,Customer_109,Individual,2022-03-23,Jaipur,None,35,Maple Retreat,Bangalore,2,Premium,100,2024-06-25,2024-08-04,2024-08-08,Deluxe,0,4,Travel Agent,11567.84,0.0,NONE,0.0,Debit Card,Completed,,
